strike_id,date,region,casualties,damage_level,strike_type,altitude_m,weather_clear,target_type
1,2024-01-15,Caracas,3,High,Precision,1200,Yes,Military
2,2024-01-22,Maracaibo,1,Low,Precision,1500,Yes,Drug_Boat
3,2024-02-05,Valencia,5,High,Area,800,No,Military
4,2024-02-18,Barquisimeto,2,Medium,Precision,1100,Yes,Drug_Boat
5,2024-03-02,Caracas,4,High,Precision,1300,Yes,Military
6,2024-03-14,Maracaibo,0,Low,Precision,1600,Yes,Drug_Boat
7,2024-03-28,Valencia,6,High,Area,750,No,Military
8,2024-04-10,Barquisimeto,1,Low,Precision,1400,Yes,Drug_Boat
9,2024-04-25,Caracas,2,Medium,Precision,1250,Yes,Military
10,2024-05-08,Maracaibo,3,Medium,Precision,1150,No,Drug_Boat
11,2024-05-20,Valencia,4,High,Area,900,Yes,Military
12,2024-06-03,Barquisimeto,1,Low,Precision,1550,Yes,Drug_Boat
13,2024-06-17,Caracas,5,High,Precision,1180,Yes,Military
14,2024-07-01,Maracaibo,2,Medium,Precision,1220,Yes,Drug_Boat
15,2024-07-15,Valencia,7,High,Area,700,No,Military
16,2024-07-29,Barquisimeto,0,Low,Precision,1650,Yes,Drug_Boat
17,2024-08-12,Caracas,3,High,Precision,1280,Yes,Military
18,2024-08-26,Maracaibo,1,Low,Precision,1450,No,Drug_Boat
19,2024-09-09,Valencia,5,High,Area,850,Yes,Military
20,2024-09-23,Barquisimeto,2,Medium,Precision,1350,Yes,Drug_Boat
21,2024-10-07,Caracas,4,High,Precision,1320,Yes,Military
22,2024-10-21,Maracaibo,2,Medium,Precision,1180,Yes,Drug_Boat
23,2024-11-04,Valencia,6,High,Area,780,No,Military
24,2024-11-18,Barquisimeto,1,Low,Precision,1480,Yes,Drug_Boat
25,2024-12-02,Caracas,3,High,Precision,1260,Yes,Military
26,2024-12-16,Maracaibo,0,Low,Precision,1620,Yes,Drug_Boat
27,2024-12-30,Valencia,8,High,Area,720,No,Military
28,2025-01-13,Barquisimeto,2,Medium,Precision,1420,Yes,Drug_Boat
29,2025-01-27,Caracas,5,High,Precision,1240,Yes,Military
30,2025-02-10,Maracaibo,3,Medium,Precision,1200,No,Drug_Boat
31,2025-02-24,Valencia,4,High,Area,820,Yes,Military
32,2025-03-10,Barquisimeto,1,Low,Precision,1520,Yes,Drug_Boat
33,2025-03-24,Caracas,6,High,Precision,1190,Yes,Military
34,2025-04-07,Maracaibo,2,Medium,Precision,1380,Yes,Drug_Boat
35,2025-04-21,Valencia,5,High,Area,760,No,Military
36,2025-05-05,Barquisimeto,0,Low,Precision,1580,Yes,Drug_Boat
37,2025-05-19,Caracas,4,High,Precision,1270,Yes,Military
38,2025-06-02,Maracaibo,3,Medium,Precision,1230,Yes,Drug_Boat
39,2025-06-16,Valencia,7,High,Area,740,No,Military
40,2025-06-30,Barquisimeto,2,Medium,Precision,1440,Yes,Drug_Boat
41,2025-07-14,Caracas,3,High,Precision,1210,Yes,Military
42,2025-07-28,Maracaibo,1,Low,Precision,1490,No,Drug_Boat
43,2025-08-11,Valencia,6,High,Area,790,Yes,Military
44,2025-08-25,Barquisimeto,1,Low,Precision,1510,Yes,Drug_Boat
45,2025-09-08,Caracas,5,High,Precision,1250,Yes,Military
46,2025-09-22,Maracaibo,2,Medium,Precision,1370,Yes,Drug_Boat
47,2025-10-06,Valencia,4,High,Area,830,No,Military
48,2025-10-20,Barquisimeto,0,Low,Precision,1590,Yes,Drug_Boat
49,2025-11-03,Caracas,4,High,Precision,1290,Yes,Military
50,2025-11-17,Maracaibo,3,Medium,Precision,1210,Yes,Drug_Boat
